meas,Scout_end_use,original_ann,measure_ann,original_ts,measure_ts
(R) Best HP FS (NG Boiler),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_12,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP FS (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_12,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP FS (Other Fossil Boiler),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_23,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP FS (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_23,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP Pt. FS (NG Boiler),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_14,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP Pt. FS (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_14,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP Pt. FS (Other Fossil Boiler),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_25,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP Pt. FS (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_25,res_cooling_ts_1,res_cooling_ts_3
(R) Best HP TS (Resist.),Cooling (Equip.),res_cooling_ann_1,res_cooling_ann_3,res_cooling_ts_1,res_cooling_ts_3
(R) Brk. HP FS (NG Boiler),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_13,res_cooling_ts_1,res_cooling_ts_4
(R) Brk. HP FS (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_13,res_cooling_ts_1,res_cooling_ts_4
(R) Brk. HP FS (Other Fossil Boiler),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_24,res_cooling_ts_1,res_cooling_ts_4
(R) Brk. HP FS (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_24,res_cooling_ts_1,res_cooling_ts_4
