meas,Scout_end_use,original_ann,measure_ann,original_ts,measure_ts
(R) Brk. HP LFL,Cooling (Equip.),res_cooling_ann_32,res_cooling_ann_35,res_cooling_ts_1,res_cooling_ts_4
(R) Brk. HP TS (Resist.),Cooling (Equip.),res_cooling_ann_1,res_cooling_ann_4,res_cooling_ts_1,res_cooling_ts_4
(R) ESTAR GSHP (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_15,res_cooling_ts_1,res_cooling_ts_5
(R) ESTAR GSHP (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_26,res_cooling_ts_1,res_cooling_ts_5
(R) ESTAR HP FS (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_11,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP FS (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_22,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP Pt. FS (NG Boiler),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_25,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP Pt. FS (NG Furnace),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_14,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP Pt. FS (Other Fossil Boiler),Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_14,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP Pt. FS (Other Fossil Furnace),Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_25,res_cooling_ts_1,res_cooling_ts_2
(R) ESTAR HP TS (Resist.),Cooling (Equip.),res_cooling_ann_1,res_cooling_ann_2,res_cooling_ts_1,res_cooling_ts_2
(R) Ref. Case ASHP,Cooling (Equip.),res_cooling_ann_32,res_cooling_ann_32,res_cooling_ts_2,res_cooling_ts_2
(R) Ref. Case Bio or No Heat & AC,Cooling (Equip.),res_cooling_ann_52,res_cooling_ann_52,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case GSHP,Cooling (Equip.),res_cooling_ann_32,res_cooling_ann_32,res_cooling_ts_5,res_cooling_ts_5
"(R) Ref. Case Heating, No Cooling",Cooling (Equip.),,,,
(R) Ref. Case NG Boiler & AC,Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_10,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case NG Furnace & AC,Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_10,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case NGHP,Cooling (Equip.),,,,
(R) Ref. Case Other Fossil Boiler & AC,Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_21,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Other Fossil Furnace & AC,Cooling (Equip.),res_cooling_ann_21,res_cooling_ann_21,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Resist. Heat & AC,Cooling (Equip.),res_cooling_ann_1,res_cooling_ann_1,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Secondary Electric Heating,Cooling (Equip.),res_cooling_ann_52,res_cooling_ann_52,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Secondary Fossil Heating,Cooling (Equip.),res_cooling_ann_10,res_cooling_ann_10,res_cooling_ts_1,res_cooling_ts_1
(R) Best HP FS (NG Boiler),Heating (Equip.),res_heating_ann_10,res_heating_ann_12,res_heating_ts_2,res_heating_ts_4
(R) Best HP FS (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_12,res_heating_ts_2,res_heating_ts_4
(R) Best HP FS (Other Fossil Boiler),Heating (Equip.),res_heating_ann_21,res_heating_ann_23,res_heating_ts_2,res_heating_ts_4
(R) Best HP FS (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_23,res_heating_ts_2,res_heating_ts_4
(R) Best HP Pt. FS (NG Boiler),Heating (Equip.),res_heating_ann_10,res_heating_ann_14,res_heating_ts_2,res_heating_ts_6
(R) Best HP Pt. FS (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_14,res_heating_ts_2,res_heating_ts_6
(R) Best HP Pt. FS (Other Fossil Boiler),Heating (Equip.),res_heating_ann_21,res_heating_ann_25,res_heating_ts_2,res_heating_ts_6
(R) Best HP Pt. FS (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_25,res_heating_ts_2,res_heating_ts_6
(R) Best HP TS (Resist.),Heating (Equip.),res_heating_ann_1,res_heating_ann_3,res_heating_ts_1,res_heating_ts_4
(R) Brk. HP FS (NG Boiler),Heating (Equip.),res_heating_ann_10,res_heating_ann_13,res_heating_ts_2,res_heating_ts_5
(R) Brk. HP FS (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_13,res_heating_ts_2,res_heating_ts_5
(R) Brk. HP FS (Other Fossil Boiler),Heating (Equip.),res_heating_ann_21,res_heating_ann_24,res_heating_ts_2,res_heating_ts_5
(R) Brk. HP FS (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_24,res_heating_ts_2,res_heating_ts_5
(R) Brk. HP LFL,Heating (Equip.),res_heating_ann_32,res_heating_ann_35,res_heating_ts_3,res_heating_ts_5
(R) Brk. HP TS (Resist.),Heating (Equip.),res_heating_ann_1,res_heating_ann_4,res_heating_ts_1,res_heating_ts_5
(R) ESTAR GSHP (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_15,res_heating_ts_2,res_heating_ts_7
(R) ESTAR GSHP (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_25,res_heating_ts_2,res_heating_ts_7
(R) ESTAR HP FS (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_11,res_heating_ts_2,res_heating_ts_3
(R) ESTAR HP FS (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_22,res_heating_ts_2,res_heating_ts_3
(R) ESTAR HP Pt. FS (NG Boiler),Heating (Equip.),res_heating_ann_21,res_heating_ann_25,res_heating_ts_2,res_heating_ts_6
(R) ESTAR HP Pt. FS (NG Furnace),Heating (Equip.),res_heating_ann_10,res_heating_ann_14,res_heating_ts_2,res_heating_ts_6
(R) ESTAR HP Pt. FS (Other Fossil Boiler),Heating (Equip.),res_heating_ann_10,res_heating_ann_14,res_heating_ts_2,res_heating_ts_6
(R) ESTAR HP Pt. FS (Other Fossil Furnace),Heating (Equip.),res_heating_ann_21,res_heating_ann_25,res_heating_ts_2,res_heating_ts_6
(R) ESTAR HP TS (Resist.),Heating (Equip.),res_heating_ann_1,res_heating_ann_2,res_heating_ts_1,res_heating_ts_3
(R) Ref. Case ASHP,Heating (Equip.),res_heating_ann_32,res_heating_ann_32,res_heating_ts_3,res_heating_ts_3
(R) Ref. Case Bio or No Heat & AC,Heating (Equip.),res_heating_ann_52,res_heating_ann_52,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case GSHP,Heating (Equip.),res_heating_ann_32,res_heating_ann_32,res_heating_ts_7,res_heating_ts_7
"(R) Ref. Case Heating, No Cooling",Heating (Equip.),res_heating_ann_43,res_heating_ann_43,res_heating_ts_1,res_heating_ts_1
(R) Ref. Case NG Boiler & AC,Heating (Equip.),res_heating_ann_10,res_heating_ann_10,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case NG Furnace & AC,Heating (Equip.),res_heating_ann_10,res_heating_ann_10,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case NGHP,Heating (Equip.),res_heating_ann_10,res_heating_ann_10,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case Other Fossil Boiler & AC,Heating (Equip.),res_heating_ann_21,res_heating_ann_21,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case Other Fossil Furnace & AC,Heating (Equip.),res_heating_ann_21,res_heating_ann_21,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case Resist. Heat & AC,Heating (Equip.),res_heating_ann_1,res_heating_ann_1,res_heating_ts_1,res_heating_ts_1
(R) Ref. Case Secondary Electric Heating,Heating (Equip.),res_heating_ann_52,res_heating_ann_52,res_heating_ts_1,res_heating_ts_1
(R) Ref. Case Secondary Fossil Heating,Heating (Equip.),res_heating_ann_10,res_heating_ann_10,res_heating_ts_2,res_heating_ts_2
