group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Fuel Oil	Room AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Other Fuel	Central AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Propane	Central AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_23	Other fossil heating + AC	Other fossil heating + AC to high eff ASHP	Fuel Oil	Central AC	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Other Fuel	Room AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Propane	Room AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Fuel Oil	Room AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Other Fuel	Central AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Propane	Central AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_24	Other fossil heating + AC	Other fossil heating + AC to ultra high eff ASHP	Fuel Oil	Central AC	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_25	Other fossil heating + AC	Other fossil heating + AC to ES ASHP existing backup	Other Fuel	Room AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_25	Other fossil heating + AC	Other fossil heating + AC to ES ASHP existing backup	Propane	Room AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_25	Other fossil heating + AC	Other fossil heating + AC to ES ASHP existing backup	Fuel Oil	Room AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_25	Other fossil heating + AC	Other fossil heating + AC to ES ASHP existing backup	Other Fuel	Central AC	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
