group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_49	Any heating no cooling	Any heating no cooling to high eff ASHP + light env	Fuel Oil	None	7	res_cooling_ts_0	res_heating_ts_9	7/19/24
res_hvac_ann_49	Any heating no cooling	Any heating no cooling to high eff ASHP + light env	Natural Gas	None	7	res_cooling_ts_0	res_heating_ts_9	7/19/24
res_hvac_ann_49	Any heating no cooling	Any heating no cooling to high eff ASHP + light env	Other Fuel	None	7	res_cooling_ts_0	res_heating_ts_9	7/19/24
res_hvac_ann_49	Any heating no cooling	Any heating no cooling to high eff ASHP + light env	Propane	None	7	res_cooling_ts_0	res_heating_ts_9	7/19/24
res_hvac_ann_5	ER heating + AC	ER heating + AC to GSHP	Electricity	Central AC	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_5	ER heating + AC	ER heating + AC to GSHP	Electricity	Room AC	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_50	Any heating no cooling	Any heating no cooling to ultra high eff ASHP + light env	Electricity	None	8	res_cooling_ts_0	res_heating_ts_10	7/19/24
res_hvac_ann_50	Any heating no cooling	Any heating no cooling to ultra high eff ASHP + light env	Fuel Oil	None	8	res_cooling_ts_0	res_heating_ts_10	7/19/24
res_hvac_ann_50	Any heating no cooling	Any heating no cooling to ultra high eff ASHP + light env	Natural Gas	None	8	res_cooling_ts_0	res_heating_ts_10	7/19/24
res_hvac_ann_50	Any heating no cooling	Any heating no cooling to ultra high eff ASHP + light env	Other Fuel	None	8	res_cooling_ts_0	res_heating_ts_10	7/19/24
res_hvac_ann_50	Any heating no cooling	Any heating no cooling to ultra high eff ASHP + light env	Propane	None	8	res_cooling_ts_0	res_heating_ts_10	7/19/24
res_hvac_ann_51	Any heating no cooling	Any heating no cooling to GSHP + light env	Electricity	None	10	res_cooling_ts_0	res_heating_ts_12	7/19/24
res_hvac_ann_51	Any heating no cooling	Any heating no cooling to GSHP + light env	Fuel Oil	None	10	res_cooling_ts_0	res_heating_ts_12	7/19/24
res_hvac_ann_51	Any heating no cooling	Any heating no cooling to GSHP + light env	Natural Gas	None	10	res_cooling_ts_0	res_heating_ts_12	7/19/24
res_hvac_ann_51	Any heating no cooling	Any heating no cooling to GSHP + light env	Other Fuel	None	10	res_cooling_ts_0	res_heating_ts_12	7/19/24
res_hvac_ann_51	Any heating no cooling	Any heating no cooling to GSHP + light env	Propane	None	10	res_cooling_ts_0	res_heating_ts_12	7/19/24
res_hvac_ann_52	Delivered heat	Delivered heat	unused	unused	0	res_cooling_ts_1	res_heating_ts_1	7/19/24
res_hvac_ann_53	ER heating no cooling	ER heating no cooling	Electricity	None	0	res_cooling_ts_1	res_heating_ts_1	7/19/24
res_hvac_ann_54	ER heating no cooling	ER heating no cooling to ES ASHP	Electricity	None	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_55	ER heating no cooling	ER heating no cooling to high eff ASHP	Electricity	None	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_56	ER heating no cooling	ER heating no cooling to ultra high eff ASHP	Electricity	None	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_57	ER heating no cooling	ER heating no cooling to GSHP	Electricity	None	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_58	ER heating no cooling	ER heating no cooling to ES ASHP + light env	Electricity	None	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_59	ER heating no cooling	ER heating no cooling to high eff ASHP + light env	Electricity	None	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_6	ER heating + AC	ER heating + AC to ES ASHP + light env	Electricity	Central AC	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_6	ER heating + AC	ER heating + AC to ES ASHP + light env	Electricity	Room AC	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_60	ER heating no cooling	ER heating no cooling to ultra high eff ASHP + light env	Electricity	None	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_61	ER heating no cooling	ER heating no cooling to GSHP + light env	Electricity	None	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
