year,in.census_division,ratio,in.state
2041,Middle Atlantic,1.103703616,PA
2041,Middle Atlantic,1.103703616,NJ
2041,East North Central,1.085868767,OH
2041,East North Central,1.085868767,IN
2041,East North Central,1.085868767,MI
2041,East North Central,1.085868767,IL
2041,East North Central,1.085868767,WI
2041,West North Central,1.101500912,MO
2041,West North Central,1.101500912,MN
2041,West North Central,1.101500912,KS
2041,West North Central,1.101500912,IA
2041,West North Central,1.101500912,NE
2041,West North Central,1.101500912,ND
2041,West North Central,1.101500912,SD
2041,South Atlantic,1.88470798,FL
2041,South Atlantic,1.88470798,VA
2041,South Atlantic,1.88470798,MD
2041,South Atlantic,1.88470798,NC
2041,South Atlantic,1.88470798,GA
2041,South Atlantic,1.88470798,WV
2041,South Atlantic,1.88470798,SC
2041,South Atlantic,1.88470798,DE
2041,South Atlantic,1.88470798,DC
2041,East South Central,1.842482843,AL
2041,East South Central,1.842482843,TN
2041,East South Central,1.842482843,MS
2041,East South Central,1.842482843,KY
2041,West South Central,1.34416984,TX
2041,West South Central,1.34416984,LA
2041,West South Central,1.34416984,AR
2041,West South Central,1.34416984,OK
2041,Mountain,1.255366986,ID
2041,Mountain,1.255366986,CO
2041,Mountain,1.255366986,AZ
2041,Mountain,1.255366986,NM
2041,Mountain,1.255366986,NV
2041,Mountain,1.255366986,MT
2041,Mountain,1.255366986,WY
2041,Mountain,1.255366986,UT
2041,Pacific,1.067156362,CA
2041,Pacific,1.067156362,WA
2041,Pacific,1.067156362,OR
2042,New England,1.207576468,CT
2042,New England,1.207576468,MA
2042,New England,1.207576468,RI
2042,New England,1.207576468,NH
2042,New England,1.207576468,ME
2042,New England,1.207576468,VT
2042,Middle Atlantic,1.103581585,NY
2042,Middle Atlantic,1.103581585,PA
2042,Middle Atlantic,1.103581585,NJ
2042,East North Central,1.08581608,OH
2042,East North Central,1.08581608,IN
2042,East North Central,1.08581608,MI
2042,East North Central,1.08581608,IL
2042,East North Central,1.08581608,WI
2042,West North Central,1.101698135,MO
2042,West North Central,1.101698135,MN
2042,West North Central,1.101698135,KS
2042,West North Central,1.101698135,IA
2042,West North Central,1.101698135,NE
2042,West North Central,1.101698135,ND
2042,West North Central,1.101698135,SD
2042,South Atlantic,1.889808691,FL
2042,South Atlantic,1.889808691,VA
2042,South Atlantic,1.889808691,MD
2042,South Atlantic,1.889808691,NC
2042,South Atlantic,1.889808691,GA
2042,South Atlantic,1.889808691,WV
2042,South Atlantic,1.889808691,SC
2042,South Atlantic,1.889808691,DE
2042,South Atlantic,1.889808691,DC
2042,East South Central,1.844408282,AL
2042,East South Central,1.844408282,TN
2042,East South Central,1.844408282,MS
2042,East South Central,1.844408282,KY
2042,West South Central,1.347475852,TX
2042,West South Central,1.347475852,LA
2042,West South Central,1.347475852,AR
2042,West South Central,1.347475852,OK
2042,Mountain,1.255418282,ID
2042,Mountain,1.255418282,CO
2042,Mountain,1.255418282,AZ
2042,Mountain,1.255418282,NM
2042,Mountain,1.255418282,NV
2042,Mountain,1.255418282,MT
2042,Mountain,1.255418282,WY
2042,Mountain,1.255418282,UT
2042,Pacific,1.067479957,CA
2042,Pacific,1.067479957,WA
2042,Pacific,1.067479957,OR
2043,New England,1.21114435,CT
2043,New England,1.21114435,MA
2043,New England,1.21114435,RI
2043,New England,1.21114435,NH
2043,New England,1.21114435,ME
2043,New England,1.21114435,VT
2043,Middle Atlantic,1.103440641,NY
2043,Middle Atlantic,1.103440641,PA
2043,Middle Atlantic,1.103440641,NJ
2043,East North Central,1.085751735,OH
2043,East North Central,1.085751735,IN
2043,East North Central,1.085751735,MI
2043,East North Central,1.085751735,IL
2043,East North Central,1.085751735,WI
2043,West North Central,1.101869712,MO
2043,West North Central,1.101869712,MN
2043,West North Central,1.101869712,KS
2043,West North Central,1.101869712,IA
2043,West North Central,1.101869712,NE
2043,West North Central,1.101869712,ND
2043,West North Central,1.101869712,SD
2043,South Atlantic,1.894774801,FL
2043,South Atlantic,1.894774801,VA
2043,South Atlantic,1.894774801,MD
2043,South Atlantic,1.894774801,NC
2043,South Atlantic,1.894774801,GA
2043,South Atlantic,1.894774801,WV
2043,South Atlantic,1.894774801,SC
2043,South Atlantic,1.894774801,DE
2043,South Atlantic,1.894774801,DC
2043,East South Central,1.846277229,AL
2043,East South Central,1.846277229,TN
2043,East South Central,1.846277229,MS
2043,East South Central,1.846277229,KY
2043,West South Central,1.350679397,TX
2043,West South Central,1.350679397,LA
2043,West South Central,1.350679397,AR
2043,West South Central,1.350679397,OK
2043,Mountain,1.255447759,ID
2043,Mountain,1.255447759,CO
2043,Mountain,1.255447759,AZ
2043,Mountain,1.255447759,NM
2043,Mountain,1.255447759,NV
2043,Mountain,1.255447759,MT
2043,Mountain,1.255447759,WY
2043,Mountain,1.255447759,UT
2043,Pacific,1.067782906,CA
2043,Pacific,1.067782906,WA
2043,Pacific,1.067782906,OR
2044,New England,1.214805307,CT
2044,New England,1.214805307,MA
2044,New England,1.214805307,RI
2044,New England,1.214805307,NH
2044,New England,1.214805307,ME
2044,New England,1.214805307,VT
2044,Middle Atlantic,1.10327177,NY
2044,Middle Atlantic,1.10327177,PA
2044,Middle Atlantic,1.10327177,NJ
2044,East North Central,1.085675366,OH
2044,East North Central,1.085675366,IN
2044,East North Central,1.085675366,MI
2044,East North Central,1.085675366,IL
2044,East North Central,1.085675366,WI
2044,West North Central,1.102015361,MO
2044,West North Central,1.102015361,MN
2044,West North Central,1.102015361,KS
2044,West North Central,1.102015361,IA
2044,West North Central,1.102015361,NE
2044,West North Central,1.102015361,ND
2044,West North Central,1.102015361,SD
2044,South Atlantic,1.899608289,FL
2044,South Atlantic,1.899608289,VA
2044,South Atlantic,1.899608289,MD
2044,South Atlantic,1.899608289,NC
2044,South Atlantic,1.899608289,GA
2044,South Atlantic,1.899608289,WV
2044,South Atlantic,1.899608289,SC
2044,South Atlantic,1.899608289,DE
2044,South Atlantic,1.899608289,DC
2044,East South Central,1.848097464,AL
2044,East South Central,1.848097464,TN
2044,East South Central,1.848097464,MS
2044,East South Central,1.848097464,KY
2044,West South Central,1.353781245,TX
2044,West South Central,1.353781245,LA
2044,West South Central,1.353781245,AR
2044,West South Central,1.353781245,OK
2044,Mountain,1.255449804,ID
2044,Mountain,1.255449804,CO
2044,Mountain,1.255449804,AZ
2044,Mountain,1.255449804,NM
2044,Mountain,1.255449804,NV
2044,Mountain,1.255449804,MT
2044,Mountain,1.255449804,WY
2044,Mountain,1.255449804,UT
2044,Pacific,1.068063318,CA
2044,Pacific,1.068063318,WA
2044,Pacific,1.068063318,OR
2045,New England,1.218515248,CT
2045,New England,1.218515248,MA
2045,New England,1.218515248,RI
2045,New England,1.218515248,NH
2045,New England,1.218515248,ME
2045,New England,1.218515248,VT
2045,Middle Atlantic,1.103104768,NY
2045,Middle Atlantic,1.103104768,PA
2045,Middle Atlantic,1.103104768,NJ
2045,East North Central,1.085590908,OH
2045,East North Central,1.085590908,IN
2045,East North Central,1.085590908,MI
2045,East North Central,1.085590908,IL
2045,East North Central,1.085590908,WI
2045,West North Central,1.102143827,MO
2045,West North Central,1.102143827,MN
2045,West North Central,1.102143827,KS
2045,West North Central,1.102143827,IA
2045,West North Central,1.102143827,NE
2045,West North Central,1.102143827,ND
2045,West North Central,1.102143827,SD
2045,South Atlantic,1.904316159,FL
2045,South Atlantic,1.904316159,VA
2045,South Atlantic,1.904316159,MD
2045,South Atlantic,1.904316159,NC
2045,South Atlantic,1.904316159,GA
2045,South Atlantic,1.904316159,WV
2045,South Atlantic,1.904316159,SC
2045,South Atlantic,1.904316159,DE
2045,South Atlantic,1.904316159,DC
2045,East South Central,1.849880799,AL
2045,East South Central,1.849880799,TN
2045,East South Central,1.849880799,MS
2045,East South Central,1.849880799,KY
2045,West South Central,1.356797311,TX
2045,West South Central,1.356797311,LA
2045,West South Central,1.356797311,AR
2045,West South Central,1.356797311,OK
2045,Mountain,1.255431581,ID
2045,Mountain,1.255431581,CO
2045,Mountain,1.255431581,AZ
2045,Mountain,1.255431581,NM
2045,Mountain,1.255431581,NV
2045,Mountain,1.255431581,MT
2045,Mountain,1.255431581,WY
2045,Mountain,1.255431581,UT
2045,Pacific,1.068333884,CA
2045,Pacific,1.068333884,WA
2045,Pacific,1.068333884,OR
2046,New England,1.222251001,CT
2046,New England,1.222251001,MA
2046,New England,1.222251001,RI
2046,New England,1.222251001,NH
2046,New England,1.222251001,ME
2046,New England,1.222251001,VT
2046,Middle Atlantic,1.102927598,NY
2046,Middle Atlantic,1.102927598,PA
2046,Middle Atlantic,1.102927598,NJ
2046,East North Central,1.085502878,OH
2046,East North Central,1.085502878,IN
2046,East North Central,1.085502878,MI
2046,East North Central,1.085502878,IL
2046,East North Central,1.085502878,WI
2046,West North Central,1.102257992,MO
2046,West North Central,1.102257992,MN
2046,West North Central,1.102257992,KS
2046,West North Central,1.102257992,IA
2046,West North Central,1.102257992,NE
2046,West North Central,1.102257992,ND
2046,West North Central,1.102257992,SD
2046,South Atlantic,1.908891873,FL
2046,South Atlantic,1.908891873,VA
2046,South Atlantic,1.908891873,MD
2046,South Atlantic,1.908891873,NC
2046,South Atlantic,1.908891873,GA
2046,South Atlantic,1.908891873,WV
2046,South Atlantic,1.908891873,SC
2046,South Atlantic,1.908891873,DE
2046,South Atlantic,1.908891873,DC
2046,East South Central,1.85163143,AL
2046,East South Central,1.85163143,TN
2046,East South Central,1.85163143,MS
2046,East South Central,1.85163143,KY
2046,West South Central,1.359728943,TX
2046,West South Central,1.359728943,LA
2046,West South Central,1.359728943,AR
2046,West South Central,1.359728943,OK
2046,Mountain,1.255396684,ID
2046,Mountain,1.255396684,CO
2046,Mountain,1.255396684,AZ
2046,Mountain,1.255396684,NM
2046,Mountain,1.255396684,NV
2046,Mountain,1.255396684,MT
2046,Mountain,1.255396684,WY
2046,Mountain,1.255396684,UT
2046,Pacific,1.06864446,CA
2046,Pacific,1.06864446,WA
2046,Pacific,1.06864446,OR
2047,New England,1.226355865,CT
2047,New England,1.226355865,MA
2047,New England,1.226355865,RI
2047,New England,1.226355865,NH
2047,New England,1.226355865,ME
2047,New England,1.226355865,VT
2047,Middle Atlantic,1.102804803,NY
2047,Middle Atlantic,1.102804803,PA
2047,Middle Atlantic,1.102804803,NJ
2047,East North Central,1.085426238,OH
2047,East North Central,1.085426238,IN
2047,East North Central,1.085426238,MI
2047,East North Central,1.085426238,IL
2047,East North Central,1.085426238,WI
2047,West North Central,1.1023896,MO
2047,West North Central,1.1023896,MN
2047,West North Central,1.1023896,KS
2047,West North Central,1.1023896,IA
2047,West North Central,1.1023896,NE
2047,West North Central,1.1023896,ND
2047,West North Central,1.1023896,SD
2047,South Atlantic,1.913398078,FL
2047,South Atlantic,1.913398078,VA
2047,South Atlantic,1.913398078,MD
2047,South Atlantic,1.913398078,NC
2047,South Atlantic,1.913398078,GA
2047,South Atlantic,1.913398078,WV
2047,South Atlantic,1.913398078,SC
2047,South Atlantic,1.913398078,DE
2047,South Atlantic,1.913398078,DC
2047,East South Central,1.853356997,AL
2047,East South Central,1.853356997,TN
2047,East South Central,1.853356997,MS
2047,East South Central,1.853356997,KY
2047,West South Central,1.362618354,TX
2047,West South Central,1.362618354,LA
2047,West South Central,1.362618354,AR
2047,West South Central,1.362618354,OK
2047,Mountain,1.255386775,ID
2047,Mountain,1.255386775,CO
2047,Mountain,1.255386775,AZ
2047,Mountain,1.255386775,NM
2047,Mountain,1.255386775,NV
2047,Mountain,1.255386775,MT
2047,Mountain,1.255386775,WY
2047,Mountain,1.255386775,UT
2047,Pacific,1.069018607,CA
2047,Pacific,1.069018607,WA
2047,Pacific,1.069018607,OR
2048,New England,1.230507131,CT
2048,New England,1.230507131,MA
2048,New England,1.230507131,RI
2048,New England,1.230507131,NH
2048,New England,1.230507131,ME
2048,New England,1.230507131,VT
2048,Middle Atlantic,1.102674417,NY
2048,Middle Atlantic,1.102674417,PA
2048,Middle Atlantic,1.102674417,NJ
2048,East North Central,1.085356303,OH
2048,East North Central,1.085356303,IN
2048,East North Central,1.085356303,MI
2048,East North Central,1.085356303,IL
2048,East North Central,1.085356303,WI
2048,West North Central,1.10252523,MO
2048,West North Central,1.10252523,MN
2048,West North Central,1.10252523,KS
2048,West North Central,1.10252523,IA
2048,West North Central,1.10252523,NE
2048,West North Central,1.10252523,ND
2048,West North Central,1.10252523,SD
2048,South Atlantic,1.917781658,FL
2048,South Atlantic,1.917781658,VA
2048,South Atlantic,1.917781658,MD
2048,South Atlantic,1.917781658,NC
2048,South Atlantic,1.917781658,GA
2048,South Atlantic,1.917781658,WV
2048,South Atlantic,1.917781658,SC
2048,South Atlantic,1.917781658,DE
2048,South Atlantic,1.917781658,DC
2048,East South Central,1.85503854,AL
2048,East South Central,1.85503854,TN
2048,East South Central,1.85503854,MS
2048,East South Central,1.85503854,KY
2048,West South Central,1.365437604,TX
2048,West South Central,1.365437604,LA
2048,West South Central,1.365437604,AR
2048,West South Central,1.365437604,OK
2048,Mountain,1.255378113,ID
2048,Mountain,1.255378113,CO
2048,Mountain,1.255378113,AZ
2048,Mountain,1.255378113,NM
2048,Mountain,1.255378113,NV
2048,Mountain,1.255378113,MT
2048,Mountain,1.255378113,WY
2048,Mountain,1.255378113,UT
2048,Pacific,1.069409245,CA
2048,Pacific,1.069409245,WA
2048,Pacific,1.069409245,OR
2049,New England,1.23467397,CT
2049,New England,1.23467397,MA
2049,New England,1.23467397,RI
2049,New England,1.23467397,NH
2049,New England,1.23467397,ME
2049,New England,1.23467397,VT
2049,Middle Atlantic,1.102559951,NY
2049,Middle Atlantic,1.102559951,PA
2049,Middle Atlantic,1.102559951,NJ
2049,East North Central,1.085286644,OH
2049,East North Central,1.085286644,IN
2049,East North Central,1.085286644,MI
2049,East North Central,1.085286644,IL
2049,East North Central,1.085286644,WI
2049,West North Central,1.102660368,MO
2049,West North Central,1.102660368,MN
2049,West North Central,1.102660368,KS
2049,West North Central,1.102660368,IA
2049,West North Central,1.102660368,NE
2049,West North Central,1.102660368,ND
2049,West North Central,1.102660368,SD
2049,South Atlantic,1.92203622,FL
2049,South Atlantic,1.92203622,VA
2049,South Atlantic,1.92203622,MD
2049,South Atlantic,1.92203622,NC
2049,South Atlantic,1.92203622,GA
2049,South Atlantic,1.92203622,WV
2049,South Atlantic,1.92203622,SC
2049,South Atlantic,1.92203622,DE
2049,South Atlantic,1.92203622,DC
2049,East South Central,1.856678631,AL
2049,East South Central,1.856678631,TN
2049,East South Central,1.856678631,MS
2049,East South Central,1.856678631,KY
2049,West South Central,1.368197236,TX
2049,West South Central,1.368197236,LA
2049,West South Central,1.368197236,AR
2049,West South Central,1.368197236,OK
2049,Mountain,1.255375816,ID
2049,Mountain,1.255375816,CO
2049,Mountain,1.255375816,AZ
2049,Mountain,1.255375816,NM
2049,Mountain,1.255375816,NV
2049,Mountain,1.255375816,MT
2049,Mountain,1.255375816,WY
2049,Mountain,1.255375816,UT
2049,Pacific,1.069819093,CA
2049,Pacific,1.069819093,WA
2049,Pacific,1.069819093,OR
2050,New England,1.238754878,CT
2050,New England,1.238754878,MA
2050,New England,1.238754878,RI
2050,New England,1.238754878,NH
2050,New England,1.238754878,ME
2050,New England,1.238754878,VT
2050,Middle Atlantic,1.102467988,NY
2050,Middle Atlantic,1.102467988,PA
2050,Middle Atlantic,1.102467988,NJ
2050,East North Central,1.085223876,OH
2050,East North Central,1.085223876,IN
2050,East North Central,1.085223876,MI
2050,East North Central,1.085223876,IL
2050,East North Central,1.085223876,WI
2050,West North Central,1.102799528,MO
2050,West North Central,1.102799528,MN
2050,West North Central,1.102799528,KS
2050,West North Central,1.102799528,IA
2050,West North Central,1.102799528,NE
2050,West North Central,1.102799528,ND
2050,West North Central,1.102799528,SD
2050,South Atlantic,1.926175073,FL
2050,South Atlantic,1.926175073,VA
2050,South Atlantic,1.926175073,MD
2050,South Atlantic,1.926175073,NC
2050,South Atlantic,1.926175073,GA
2050,South Atlantic,1.926175073,WV
2050,South Atlantic,1.926175073,SC
2050,South Atlantic,1.926175073,DE
2050,South Atlantic,1.926175073,DC
2050,East South Central,1.85827805,AL
2050,East South Central,1.85827805,TN
2050,East South Central,1.85827805,MS
2050,East South Central,1.85827805,KY
2050,West South Central,1.370903949,TX
2050,West South Central,1.370903949,LA
2050,West South Central,1.370903949,AR
2050,West South Central,1.370903949,OK
2050,Mountain,1.255380029,ID
2050,Mountain,1.255380029,CO
2050,Mountain,1.255380029,AZ
2050,Mountain,1.255380029,NM
2050,Mountain,1.255380029,NV
2050,Mountain,1.255380029,MT
2050,Mountain,1.255380029,WY
2050,Mountain,1.255380029,UT
2050,Pacific,1.070257626,CA
2050,Pacific,1.070257626,WA
2050,Pacific,1.070257626,OR
