sector	in.state	month	fuel	calibration_multiplier
com	AL	1	Electric	0.9064242318076439
com	AL	1	Natural Gas	0.8509425189919056
com	AL	2	Electric	1.11330096585764
com	AL	2	Natural Gas	1.3237457807708322
com	AL	3	Electric	1.055618814174165
com	AL	3	Natural Gas	0.981043485694061
com	AL	4	Electric	1.0795088115371425
com	AL	4	Natural Gas	0.833332556487243
com	AL	5	Electric	0.9828871097744237
com	AL	5	Natural Gas	0.7456431174530076
com	AL	6	Electric	1.0406427760740664
com	AL	6	Natural Gas	0.6653096310144992
com	AL	7	Electric	1.0703650127955007
com	AL	7	Natural Gas	0.6562602463059672
com	AL	8	Electric	1.1022393296555038
com	AL	8	Natural Gas	0.6690418254335586
com	AL	9	Electric	1.0620595139442082
com	AL	9	Natural Gas	0.8326998832519695
com	AL	10	Electric	1.0568945161558962
com	AL	10	Natural Gas	0.9813014324268501
com	AL	11	Electric	1.009731504037211
com	AL	11	Natural Gas	0.9791884837549538
com	AL	12	Electric	1.0030105201302395
com	AL	12	Natural Gas	1.0508527029020747
com	AR	1	Electric	0.855465655388274
com	AR	1	Natural Gas	1.3570505747570738
com	AR	2	Electric	1.0004165750883305
com	AR	2	Natural Gas	1.9579107845993344
com	AR	3	Electric	0.9519865864594612
com	AR	3	Natural Gas	2.684027228963798
com	AR	4	Electric	0.9486529401937378
com	AR	4	Natural Gas	2.013988231498884
com	AR	5	Electric	0.8440203930014464
com	AR	5	Natural Gas	2.609206744471261
com	AR	6	Electric	0.8956265581702564
com	AR	6	Natural Gas	2.389870216092576
com	AR	7	Electric	0.9630528452151905
com	AR	7	Natural Gas	2.3259712537648842
com	AR	8	Electric	0.9998612041070366
com	AR	8	Natural Gas	2.4043636213478288
com	AR	9	Electric	1.0656202845536498
com	AR	9	Natural Gas	2.5701115131951293
com	AR	10	Electric	1.0176949370060897
com	AR	10	Natural Gas	2.4524227293033443
com	AR	11	Electric	0.8924985622908809
com	AR	11	Natural Gas	1.4524166260242715
com	AR	12	Electric	0.885503645997788
com	AR	12	Natural Gas	1.6506191501803724
com	AZ	1	Electric	1.0281437282530108
com	AZ	1	Natural Gas	1.2203222497360386
com	AZ	2	Electric	1.0592909830614645
com	AZ	2	Natural Gas	1.2033534968790234
com	AZ	3	Electric	1.0329134609750743
com	AZ	3	Natural Gas	1.2026700026794177
com	AZ	4	Electric	1.0175406629173867
com	AZ	4	Natural Gas	1.072993850224441
com	AZ	5	Electric	1.0361982172135709
com	AZ	5	Natural Gas	0.9110936454410254
com	AZ	6	Electric	1.1237449226726788
com	AZ	6	Natural Gas	0.9021266126277234
com	AZ	7	Electric	1.1679316405467643
com	AZ	7	Natural Gas	0.8073327765655364
com	AZ	8	Electric	1.1535444384671556
com	AZ	8	Natural Gas	0.8230642711623553
com	AZ	9	Electric	1.1703672010382404
com	AZ	9	Natural Gas	0.8460578119823989
com	AZ	10	Electric	1.2376858500773422
com	AZ	10	Natural Gas	0.8308766773899136
com	AZ	11	Electric	1.196397917417476
com	AZ	11	Natural Gas	0.9643980745227033
com	AZ	12	Electric	1.1050324986119175
com	AZ	12	Natural Gas	0.9108756604586693
com	CA	1	Electric	0.9596473668214387
com	CA	1	Natural Gas	0.8517653530451907
com	CA	2	Electric	0.9517319950658101
com	CA	2	Natural Gas	0.8072986382287903
com	CA	3	Electric	1.0691876888658585
com	CA	3	Natural Gas	0.8372718772801393
com	CA	4	Electric	0.8945105105907064
com	CA	4	Natural Gas	0.8815624388369823
com	CA	5	Electric	0.8286343830300009
com	CA	5	Natural Gas	0.9008536211448128
com	CA	6	Electric	0.9472970072105857
com	CA	6	Natural Gas	0.9266802875246368
com	CA	7	Electric	0.8483454056933633
com	CA	7	Natural Gas	0.9451680868489106
com	CA	8	Electric	0.8418885249688927
com	CA	8	Natural Gas	0.9298614749839359
com	CA	9	Electric	1.0099666943777512
com	CA	9	Natural Gas	1.022099554697821
com	CA	10	Electric	1.0471706331559163
com	CA	10	Natural Gas	1.0403477751865071
com	CA	11	Electric	0.8813825036088462
com	CA	11	Natural Gas	0.9791578388200998
com	CA	12	Electric	1.0116197312031066
com	CA	12	Natural Gas	0.8218510645909001
com	CO	1	Electric	0.7757072504781546
com	CO	1	Natural Gas	0.7191408353605205
com	CO	2	Electric	0.7912902761561575
com	CO	2	Natural Gas	0.6070023115973419
com	CO	3	Electric	0.8229462957203195
com	CO	3	Natural Gas	0.8627795840048245
com	CO	4	Electric	0.8322734559990949
com	CO	4	Natural Gas	0.7673933988279563
com	CO	5	Electric	0.8605913050889413
com	CO	5	Natural Gas	0.8260999908871705
com	CO	6	Electric	0.8361599202853702
com	CO	6	Natural Gas	0.665353825567826
com	CO	7	Electric	0.8179996992495775
com	CO	7	Natural Gas	0.5858774176073531
com	CO	8	Electric	0.9070587738652712
com	CO	8	Natural Gas	0.587494666180209
com	CO	9	Electric	0.9223123484452733
com	CO	9	Natural Gas	0.6461912858015555
com	CO	10	Electric	0.8458606382700857
com	CO	10	Natural Gas	0.6280362614467542
com	CO	11	Electric	0.7293118723163479
com	CO	11	Natural Gas	0.6578125151932559
com	CO	12	Electric	0.7100725717457985
com	CO	12	Natural Gas	0.6146022760891808
com	CT	1	Electric	0.8022536937367682
com	CT	1	Natural Gas	1.196727212558055
com	CT	2	Electric	0.9100063065398041
com	CT	2	Natural Gas	1.5477933041437342
com	CT	3	Electric	0.8579330277167939
com	CT	3	Natural Gas	1.2123713911558702
com	CT	4	Electric	0.8176765501614476
com	CT	4	Natural Gas	1.0373234409382117
com	CT	5	Electric	0.9001030763419735
com	CT	5	Natural Gas	0.9501270440646536
com	CT	6	Electric	0.9762897439154464
com	CT	6	Natural Gas	0.8530690089676467
com	CT	7	Electric	0.9270057855697165
com	CT	7	Natural Gas	0.912617381915959
com	CT	8	Electric	0.8652610264835594
com	CT	8	Natural Gas	0.9113815556252991
com	CT	9	Electric	0.8926833564931977
com	CT	9	Natural Gas	0.9359739619704388
com	CT	10	Electric	0.8546555238271315
com	CT	10	Natural Gas	1.062233900310137
com	CT	11	Electric	0.8134742243732036
com	CT	11	Natural Gas	1.16483811874512
com	CT	12	Electric	0.823963149905417
com	CT	12	Natural Gas	1.415184820355841
com	DC	1	Electric	1.0414520302717745
com	DC	1	Natural Gas	0.900607015004278
com	DC	2	Electric	1.1288602355568047
com	DC	2	Natural Gas	1.5742960520497902
com	DC	3	Electric	1.0297627710186306
com	DC	3	Natural Gas	1.112442940813807
com	DC	4	Electric	1.0267081001951348
com	DC	4	Natural Gas	1.576591089784594
com	DC	5	Electric	1.0261674122275735
com	DC	5	Natural Gas	2.0804028744647995
com	DC	6	Electric	1.0588848295219346
com	DC	6	Natural Gas	1.9039436038923252
com	DC	7	Electric	1.1377119069123842
com	DC	7	Natural Gas	1.9765932466404883
com	DC	8	Electric	1.0665387332228575
com	DC	8	Natural Gas	2.041026811234017
com	DC	9	Electric	1.0500358540856412
com	DC	9	Natural Gas	2.175771583019112
com	DC	10	Electric	1.0189295299599255
com	DC	10	Natural Gas	1.8182038252490138
com	DC	11	Electric	1.0422750669178764
com	DC	11	Natural Gas	1.3484850507991268
com	DC	12	Electric	1.0589341573426814
com	DC	12	Natural Gas	1.3301648797308652
com	DE	1	Electric	0.87353475303217
com	DE	1	Natural Gas	0.7146445686780986
com	DE	2	Electric	0.9954813769292297
com	DE	2	Natural Gas	1.0801603796488157
com	DE	3	Electric	0.9410145644411229
com	DE	3	Natural Gas	0.734551434741116
com	DE	4	Electric	0.909412732969914
com	DE	4	Natural Gas	1.1230697623669028
com	DE	5	Electric	0.9143789008522643
com	DE	5	Natural Gas	1.5577646642799479
com	DE	6	Electric	1.063247431397409
com	DE	6	Natural Gas	1.4132092700803982
com	DE	7	Electric	1.0099646558185384
com	DE	7	Natural Gas	1.466008948495622
com	DE	8	Electric	0.9550689726351992
com	DE	8	Natural Gas	1.464861262614848
com	DE	9	Electric	0.9434594858907779
com	DE	9	Natural Gas	1.5829512979750142
com	DE	10	Electric	0.9397057919199314
com	DE	10	Natural Gas	1.6107958980667607
com	DE	11	Electric	0.8887156963853002
com	DE	11	Natural Gas	1.1879037221922641
com	DE	12	Electric	0.9665107132417496
com	DE	12	Natural Gas	1.1590103025254535
