in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
Middle Atlantic,2345963379,2024,Warehouse,135415.3697
East North Central,3937336914,2024,Warehouse,227273.7667
West North Central,1643377441,2024,Warehouse,94860.20357
South Atlantic,3660094239,2024,Warehouse,211270.5675
East South Central,1496172974,2024,Warehouse,86363.16244
West South Central,2577149903,2024,Warehouse,148760.0829
Mountain,1292013306,2024,Warehouse,74578.51262
Pacific,3318903809,2024,Warehouse,191576.1304
New England,403238617,2024,Other,29183.14344
Middle Atlantic,889678345,2024,Other,64387.70907
East North Central,1011650085,2024,Other,73215.03521
West North Central,532174255,2024,Other,38514.46008
South Atlantic,1266302612,2024,Other,91644.72152
East South Central,288374969,2024,Other,20870.2434
West South Central,689786988,2024,Other,49921.19248
Mountain,368445313,2024,Other,26665.08604
Pacific,572927796,2024,Other,41463.87113
New England,506236511,2025,Assembly,37135.10589
Middle Atlantic,1198222412,2025,Assembly,87895.90474
East North Central,2391263428,2025,Assembly,175411.7269
West North Central,1026413941,2025,Assembly,75292.85138
South Atlantic,3045834961,2025,Assembly,223427.9854
East South Central,816042419,2025,Assembly,59860.99576
West South Central,1560347656,2025,Assembly,114459.6926
Mountain,980867310,2025,Assembly,71951.76687
Pacific,1499326416,2025,Assembly,109983.4643
New England,664051087,2025,Education,20408.63106
Middle Atlantic,1998314087,2025,Education,61415.23708
East North Central,2562437011,2025,Education,78752.72338
West North Central,1538369385,2025,Education,47279.51482
South Atlantic,2540969238,2025,Education,78092.94303
East South Central,877173767,2025,Education,26958.64239
West South Central,2024929931,2025,Education,62233.2358
Mountain,980185852,2025,Education,30124.56694
Pacific,1482969971,2025,Education,45576.89551
New England,86230637,2025,Food Sales ,28743.54567
Middle Atlantic,55607124,2025,Food Sales ,18535.708
East North Central,283528564,2025,Food Sales ,94509.52133
West North Central,125880516,2025,Food Sales ,41960.172
South Atlantic,88393273,2025,Food Sales ,29464.42433
East South Central,39250244,2025,Food Sales ,13083.41467
West South Central,132156082,2025,Food Sales ,44052.02733
Mountain,99370255,2025,Food Sales ,33123.41833
Pacific,120585563,2025,Food Sales ,40195.18767
New England,61821517,2025,Food Services ,14346.76555
Middle Atlantic,78054306,2025,Food Services ,18113.86848
East North Central,218217651,2025,Food Services ,50641.22703
West North Central,64901688,2025,Food Services ,15061.57316
South Atlantic,272783844,2025,Food Services ,63304.26759
East South Central,111781906,2025,Food Services ,25940.94865
West South Central,202533996,2025,Food Services ,47001.56025
Mountain,217646972,2025,Food Services ,50508.79097
Pacific,199359634,2025,Food Services ,46264.89397
New England,96542709,2025,Health Care,3592.529012
Middle Atlantic,286619537,2025,Health Care,10665.63196
East North Central,622663574,2025,Health Care,23170.43905
West North Central,152871536,2025,Health Care,5688.62666
South Atlantic,433827423,2025,Health Care,16143.50394
East South Central,122017319,2025,Health Care,4540.485377
West South Central,255342575,2025,Health Care,9501.759566
Mountain,202175812,2025,Health Care,7523.328045
Pacific,357647827,2025,Health Care,13308.72324
New England,347653626,2025,Lodging,6015.635922
Middle Atlantic,970870301,2025,Lodging,16799.4861
East North Central,1176076904,2025,Lodging,20350.28529
West North Central,641246154,2025,Lodging,11095.82386
South Atlantic,1472284302,2025,Lodging,25475.71972
East South Central,361371490,2025,Lodging,6253.003432
West South Central,850171204,2025,Lodging,14710.96532
Mountain,770320984,2025,Lodging,13329.27442
Pacific,994065003,2025,Lodging,17200.83639
New England,333692109,2025,Office,19305.4901
Middle Atlantic,2111657959,2025,Office,122168.2824
East North Central,1635408569,2025,Office,94615.25484
West North Central,745911316,2025,Office,43154.10265
South Atlantic,2493757080,2025,Office,144274.3215
East South Central,311220246,2025,Office,18005.39843
West South Central,1086353027,2025,Office,62850.08557
Mountain,962571350,2025,Office,55688.79564
Pacific,1490218994,2025,Office,86215.4281
New England,248953354,2025,Office,14402.9972
Middle Atlantic,1007108460,2025,Office,58265.45452
East North Central,1522886231,2025,Office,88105.36497
West North Central,844896240,2025,Office,48880.79626
South Atlantic,1262026245,2025,Office,73013.5191
East South Central,388631012,2025,Office,22483.93639
West South Central,1121484131,2025,Office,64882.56749
Mountain,778718261,2025,Office,45052.12221
Pacific,1022565857,2025,Office,59159.72986
New England,708825501,2025,Mercantile and Service,54403.99955
Middle Atlantic,2076027588,2025,Mercantile and Service,159339.9275
East North Central,3152447998,2025,Mercantile and Service,241957.6881
West North Central,1900410523,2025,Mercantile and Service,145860.9109
South Atlantic,3179071045,2025,Mercantile and Service,244001.0686
East South Central,1076169190,2025,Mercantile and Service,82598.47882
West South Central,2396916016,2025,Mercantile and Service,183968.8579
Mountain,1687312622,2025,Mercantile and Service,129505.1532
Pacific,1909987548,2025,Mercantile and Service,146595.9697
New England,531894775,2025,Warehouse,30702.40918
Middle Atlantic,2313275146,2025,Warehouse,133528.5162
East North Central,3936917969,2025,Warehouse,227249.5841
West North Central,1620373291,2025,Warehouse,93532.34163
South Atlantic,3647908203,2025,Warehouse,210567.1565
East South Central,1483794434,2025,Warehouse,85648.63953
West South Central,2537570801,2025,Warehouse,146475.4698
Mountain,1279797730,2025,Warehouse,73873.39644
Pacific,3336735595,2025,Warehouse,192605.4295
New England,404997833,2025,Other,29310.46124
Middle Atlantic,895327759,2025,Other,64796.56787
East North Central,1023357605,2025,Other,74062.33063
West North Central,536650696,2025,Other,38838.42861
South Atlantic,1298499268,2025,Other,93974.85458
East South Central,295381745,2025,Other,21377.33707
West South Central,699373413,2025,Other,50614.98023
Mountain,376020417,2025,Other,27213.31069
Pacific,583013733,2025,Other,42193.80952
New England,508573730,2026,Assembly,37306.55317
Middle Atlantic,1203264892,2026,Assembly,88265.79712
East North Central,2410958008,2026,Assembly,176856.4277
West North Central,1036703858,2026,Assembly,76047.67081
South Atlantic,3080392578,2026,Assembly,225962.9681
East South Central,823695434,2026,Assembly,60422.38459
West South Central,1574342529,2026,Assembly,115486.29
Mountain,992679749,2026,Assembly,72818.27129
Pacific,1514410279,2026,Assembly,111089.9448
New England,671792481,2026,Education,20646.55139
Middle Atlantic,2018999756,2026,Education,62050.98062
East North Central,2587998047,2026,Education,79538.30414
West North Central,1561580078,2026,Education,47992.86125
South Atlantic,2578415040,2026,Education,79243.78455
East South Central,888430420,2026,Education,27304.59903
West South Central,2056506103,2026,Education,63203.68289
Mountain,994652832,2026,Education,30569.18824
Pacific,1501629151,2026,Education,46150.3579
New England,86958969,2026,Food Sales ,28986.323
Middle Atlantic,56070809,2026,Food Sales ,18690.26967
East North Central,285344269,2026,Food Sales ,95114.75633
West North Central,127155090,2026,Food Sales ,42385.03
South Atlantic,89416885,2026,Food Sales ,29805.62833
East South Central,39604245,2026,Food Sales ,13201.415
West South Central,133612838,2026,Food Sales ,44537.61267
Mountain,100534737,2026,Food Sales ,33511.579
Pacific,121988266,2026,Food Sales ,40662.75533
New England,62343685,2026,Food Services ,14467.94378
Middle Atlantic,78705170,2026,Food Services ,18264.91287
East North Central,219615097,2026,Food Services ,50965.52884
West North Central,65558838,2026,Food Services ,15214.07633
South Atlantic,275942749,2026,Food Services ,64037.34681
East South Central,112790070,2026,Food Services ,26174.91076
West South Central,204766540,2026,Food Services ,47519.66118
Mountain,220197494,2026,Food Services ,51100.68426
Pacific,201678680,2026,Food Services ,46803.0692
New England,97716194,2026,Health Care,3636.196514
Middle Atlantic,291066651,2026,Health Care,10831.11712
East North Central,632305542,2026,Health Care,23529.23414
West North Central,155165863,2026,Health Care,5774.002722
South Atlantic,443196868,2026,Health Care,16492.15796
East South Central,123741814,2026,Health Care,4604.656959
West South Central,258870117,2026,Health Care,9633.025791
Mountain,206398728,2026,Health Care,7680.470396
Pacific,363279358,2026,Health Care,13518.2827
New England,352119079,2026,Lodging,6092.904035
Middle Atlantic,987054016,2026,Lodging,17079.52155
East North Central,1197309326,2026,Lodging,20717.6812
West North Central,650396484,2026,Lodging,11254.1569
South Atlantic,1499783569,2026,Lodging,25951.55419
East South Central,367895507,2026,Lodging,6365.891974
West South Central,863640319,2026,Lodging,14944.02859
Mountain,782001404,2026,Lodging,13531.38695
Pacific,1008187927,2026,Lodging,17445.21287
New England,336605255,2026,Office,19474.02783
Middle Atlantic,2129612549,2026,Office,123207.0309
East North Central,1647544434,2026,Office,95317.36561
West North Central,753578735,2026,Office,43597.69504
South Atlantic,2527913574,2026,Office,146250.4181
East South Central,314023437,2026,Office,18167.57481
West South Central,1099722168,2026,Office,63623.54653
Mountain,974871154,2026,Office,56400.39096
Pacific,1505860352,2026,Office,87120.34635
New England,251192353,2026,Office,14532.53269
Middle Atlantic,1016214905,2026,Office,58792.30061
East North Central,1535132202,2026,Office,88813.84583
West North Central,853888549,2026,Office,49401.03911
South Atlantic,1280079223,2026,Office,74057.9597
East South Central,392284790,2026,Office,22695.3228
West South Central,1135416015,2026,Office,65688.5855
Mountain,789154602,2026,Office,45655.90837
Pacific,1033711792,2026,Office,59804.56902
New England,715599610,2026,Mercantile and Service,54923.92811
Middle Atlantic,2097083984,2026,Mercantile and Service,160956.0547
East North Central,3177076904,2026,Mercantile and Service,243848.0137
West North Central,1922696411,2026,Mercantile and Service,147571.4044
South Atlantic,3222821533,2026,Mercantile and Service,247359.0199
East South Central,1088743164,2026,Mercantile and Service,83563.56045
West South Central,2427591308,2026,Mercantile and Service,186323.2576
Mountain,1709957519,2026,Mercantile and Service,131243.2016
Pacific,1934752685,2026,Mercantile and Service,148496.7514
New England,541799194,2026,Warehouse,31274.11911
Middle Atlantic,2356982666,2026,Warehouse,136051.4328
East North Central,4006511963,2026,Warehouse,231266.7382
West North Central,1652940064,2026,Warehouse,95412.18411
South Atlantic,3724831787,2026,Warehouse,215007.3944
East South Central,1514718750,2026,Warehouse,87433.67494
West South Central,2590720459,2026,Warehouse,149543.4122
Mountain,1309995850,2026,Warehouse,75616.51384
Pacific,3392181885,2026,Warehouse,195805.9397
New England,410724213,2026,Other,29724.89022
Middle Atlantic,906568604,2026,Other,65610.08914
East North Central,1035297607,2026,Other,74926.45122
West North Central,543506409,2026,Other,39334.58956
South Atlantic,1322954102,2026,Other,95744.69729
East South Central,299933380,2026,Other,21706.74752
West South Central,710222900,2026,Other,51400.17818
Mountain,382291931,2026,Other,27667.19205
Pacific,592274720,2026,Other,42864.04471
New England,511620758,2027,Assembly,37530.06867
Middle Atlantic,1209974488,2027,Assembly,88757.98122
East North Central,2434237060,2027,Assembly,178564.0684
West North Central,1048581177,2027,Assembly,76918.93452
South Atlantic,3119767578,2027,Assembly,228851.331
East South Central,832596374,2027,Assembly,61075.31527
West South Central,1590706543,2027,Assembly,116686.6763
Mountain,1006061707,2027,Assembly,73799.90816
Pacific,1531814209,2027,Assembly,112366.6145
New England,680589722,2027,Education,20916.92162
Middle Atlantic,2042792968,2027,Education,62782.2299
East North Central,2617518799,2027,Education,80445.58092
West North Central,1587376709,2027,Education,48785.68267
South Atlantic,2620108399,2027,Education,80525.16846
East South Central,901109131,2027,Education,27694.26051
West South Central,2091513672,2027,Education,64279.58891
Mountain,1010759033,2027,Education,31064.18858
Pacific,1522682861,2027,Education,46797.41263
New England,87817032,2027,Food Sales ,29272.344
Middle Atlantic,56617988,2027,Food Sales ,18872.66267
East North Central,287571075,2027,Food Sales ,95857.025
West North Central,128624680,2027,Food Sales ,42874.89333
South Atlantic,90580864,2027,Food Sales ,30193.62133
East South Central,40017891,2027,Food Sales ,13339.297
West South Central,135277496,2027,Food Sales ,45092.49867
Mountain,101857376,2027,Food Sales ,33952.45867
Pacific,123582618,2027,Food Sales ,41194.206
New England,62958859,2027,Food Services ,14610.70568
Middle Atlantic,79473229,2027,Food Services ,18443.15441
East North Central,221328949,2027,Food Services ,51363.25821
West North Central,66316528,2027,Food Services ,15389.91156
South Atlantic,279534820,2027,Food Services ,64870.94979
East South Central,113968110,2027,Food Services ,26448.29557
West South Central,207317688,2027,Food Services ,48111.69975
Mountain,223094421,2027,Food Services ,51772.9669
Pacific,204314575,2027,Food Services ,47414.77479
New England,99044449,2027,Health Care,3685.623288
Middle Atlantic,295998810,2027,Health Care,11014.65169
East North Central,643000794,2027,Health Care,23927.22383
West North Central,157716827,2027,Health Care,5868.928711
South Atlantic,453370209,2027,Health Care,16870.7264
East South Central,125668351,2027,Health Care,4676.346889
West South Central,262818207,2027,Health Care,9779.941369
Mountain,210992508,2027,Health Care,7851.413268
Pacific,369518372,2027,Health Care,13750.44771
New England,357148194,2027,Lodging,6179.925491
Middle Atlantic,1004910095,2027,Lodging,17388.49479
East North Central,1220608887,2027,Lodging,21120.84592
West North Central,660610657,2027,Lodging,11430.89817
South Atlantic,1529894043,2027,Lodging,26472.57176
East South Central,375053833,2027,Lodging,6489.756303
West South Central,878554626,2027,Lodging,15202.09879
Mountain,794971070,2027,Lodging,13755.80799
Pacific,1023957947,2027,Lodging,17718.08993
New England,340022675,2027,Office,19671.73993
Middle Atlantic,2150739502,2027,Office,124429.3138
East North Central,1662088379,2027,Office,96158.79391
West North Central,762403565,2027,Office,44108.24852
South Atlantic,2566159180,2027,Office,148463.0871
East South Central,317298920,2027,Office,18357.07526
West South Central,1114837158,2027,Office,64498.01219
Mountain,988725708,2027,Office,57201.9351
Pacific,1523822144,2027,Office,88159.51147
New England,253809143,2027,Office,14683.92498
Middle Atlantic,1026845581,2027,Office,59407.32987
East North Central,1549639160,2027,Office,89653.13428
West North Central,864198791,2027,Office,49997.52991
South Atlantic,1300216553,2027,Office,75222.98883
East South Central,396531707,2027,Office,22941.02478
West South Central,1151153199,2027,Office,66599.04769
Mountain,800858337,2027,Office,46333.0186
Pacific,1046459107,2027,Office,60542.05473
New England,723458679,2027,Mercantile and Service,55527.12987
Middle Atlantic,2121339355,2027,Mercantile and Service,162817.7106
East North Central,3206378174,2027,Mercantile and Service,246096.954
West North Central,1947994263,2027,Mercantile and Service,149513.0732
South Atlantic,3271764405,2027,Mercantile and Service,251115.4988
East South Central,1103008789,2027,Mercantile and Service,84658.48023
West South Central,2462130371,2027,Mercantile and Service,188974.2107
Mountain,1735351196,2027,Mercantile and Service,133192.2251
Pacific,1962611938,2027,Mercantile and Service,150635.0136
New England,552647461,2027,Warehouse,31900.31051
Middle Atlantic,2404811768,2027,Warehouse,138812.2583
East North Central,4082994141,2027,Warehouse,235681.497
West North Central,1688445312,2027,Warehouse,97461.64333
South Atlantic,3808466065,2027,Warehouse,219834.9918
East South Central,1548363159,2027,Warehouse,89375.72148
West South Central,2648528809,2027,Warehouse,152880.267
Mountain,1342632813,2027,Warehouse,77500.40787
Pacific,3453372559,2027,Warehouse,199338.0314
New England,417121216,2027,Other,30187.85346
Middle Atlantic,919254334,2027,Other,66528.17948
East North Central,1048865113,2027,Other,75908.35736
West North Central,551231262,2027,Other,39893.65182
South Atlantic,1349720337,2027,Other,97681.82048
East South Central,304984070,2027,Other,22072.27554
West South Central,722255921,2027,Other,52271.03073
Mountain,389211426,2027,Other,28167.96902
Pacific,602528076,2027,Other,43606.09953
New England,514977661,2028,Assembly,37776.31513
Middle Atlantic,1217402710,2028,Assembly,89302.8803
East North Central,2459239014,2028,Assembly,180398.093
West North Central,1061252930,2028,Assembly,77848.47413
South Atlantic,3161620362,2028,Assembly,231921.4525
East South Central,842113160,2028,Assembly,61773.42149
West South Central,1608229248,2028,Assembly,117972.0588
Mountain,1020262024,2028,Assembly,74841.57597
Pacific,1550380371,2028,Assembly,113728.5399
New England,689933289,2028,Education,21204.08238
Middle Atlantic,2068152588,2028,Education,63561.62043
East North Central,2649019043,2028,Education,81413.69448
West North Central,1614596069,2028,Education,49622.22956
South Atlantic,2664125000,2028,Education,81877.95379
East South Central,914540222,2028,Education,28107.04529
West South Central,2128424072,2028,Education,65413.97563
Mountain,1027762085,2028,Education,31586.75231
Pacific,1544997437,2028,Education,47483.21823
New England,88737770,2028,Food Sales ,29579.25667
Middle Atlantic,57205410,2028,Food Sales ,19068.47
East North Central,289986633,2028,Food Sales ,96662.211
West North Central,130192077,2028,Food Sales ,43397.359
South Atlantic,91817352,2028,Food Sales ,30605.784
East South Central,40460735,2028,Food Sales ,13486.91167
West South Central,137048370,2028,Food Sales ,45682.79
Mountain,103261956,2028,Food Sales ,34420.652
Pacific,125276085,2028,Food Sales ,41758.695
New England,63618962,2028,Food Services ,14763.89414
Middle Atlantic,80297776,2028,Food Services ,18634.50498
East North Central,223188079,2028,Food Services ,51794.70188
West North Central,67124649,2028,Food Services ,15577.45019
South Atlantic,283350647,2028,Food Services ,65756.47926
East South Central,115229301,2028,Food Services ,26740.97703
West South Central,210031631,2028,Food Services ,48741.51774
Mountain,226170822,2028,Food Services ,52486.89962
Pacific,207114318,2028,Food Services ,48064.50418
New England,100453568,2028,Health Care,3738.059157
Middle Atlantic,301199676,2028,Health Care,11208.18533
East North Central,654279236,2028,Health Care,24346.91508
West North Central,160408844,2028,Health Care,5969.103538
South Atlantic,464028382,2028,Health Care,17267.33631
East South Central,127704262,2028,Health Care,4752.106824
West South Central,266992829,2028,Health Care,9935.286612
Mountain,215808013,2028,Health Care,8030.606928
Pacific,376095123,2028,Health Care,13995.18052
New England,362475647,2028,Lodging,6272.109249
Middle Atlantic,1023709351,2028,Lodging,17713.78834
East North Central,1245097412,2028,Lodging,21544.58391
West North Central,671402282,2028,Lodging,11617.63141
South Atlantic,1561519409,2028,Lodging,27019.80232
East South Central,382576508,2028,Lodging,6619.925156
West South Central,894273315,2028,Lodging,15474.08764
Mountain,808647400,2028,Lodging,13992.45681
Pacific,1040620727,2028,Lodging,18006.41489
New England,343685180,2028,Office,19883.63123
Middle Atlantic,2173397461,2028,Office,125740.1719
East North Central,1677762939,2028,Office,97065.63305
West North Central,771810242,2028,Office,44652.4643
South Atlantic,2606596924,2028,Office,150802.5804
East South Central,320805267,2028,Office,18559.93216
West South Central,1130866822,2028,Office,65425.39558
Mountain,1003399597,2028,Office,58050.88122
Pacific,1542955322,2028,Office,89266.44618
New England,256610504,2028,Office,14845.99548
Middle Atlantic,1038219116,2028,Office,60065.33664
East North Central,1565220337,2028,Office,90554.57081
West North Central,875175965,2028,Office,50632.60553
South Atlantic,1321480835,2028,Office,76453.21686
East South Central,401070739,2028,Office,23203.62685
West South Central,1167838379,2028,Office,67564.35544
Mountain,813235962,2028,Office,47049.1162
Pacific,1060020508,2028,Office,61326.63874
New England,731854065,2028,Mercantile and Service,56171.49519
Middle Atlantic,2147190674,2028,Mercantile and Service,164801.8593
East North Central,3237893798,2028,Mercantile and Service,248515.8512
West North Central,1974846192,2028,Mercantile and Service,151574.021
South Atlantic,3323480469,2028,Mercantile and Service,255084.8265
East South Central,1118139771,2028,Mercantile and Service,85819.81815
West South Central,2498702393,2028,Mercantile and Service,191781.1982
Mountain,1762208496,2028,Mercantile and Service,135253.5851
Pacific,1992107910,2028,Mercantile and Service,152898.8978
New England,564043396,2028,Warehouse,32558.11479
Middle Atlantic,2455041504,2028,Warehouse,141711.6549
East North Central,4163419922,2028,Warehouse,240323.8912
West North Central,1725689819,2028,Warehouse,99611.4973
South Atlantic,3896122558,2028,Warehouse,224894.7623
East South Central,1583632690,2028,Warehouse,91411.57448
West South Central,2709124268,2028,Warehouse,156378.0013
Mountain,1376775635,2028,Warehouse,79471.22417
Pacific,3517800293,2028,Warehouse,203056.975
New England,423881348,2028,Other,30677.09703
Middle Atlantic,932700561,2028,Other,67501.30843
East North Central,1063274780,2028,Other,76951.21229
West North Central,559415466,2028,Other,40485.95818
South Atlantic,1377831787,2028,Other,99716.29943
East South Central,310310761,2028,Other,22457.77827
West South Central,734944580,2028,Other,53189.33305
Mountain,396496399,2028,Other,28695.19634
Pacific,613334412,2028,Other,44388.17456
New England,518178650,2029,Assembly,38011.12448
Middle Atlantic,1224447266,2029,Assembly,89819.63547
East North Central,2483762207,2029,Assembly,182196.998
West North Central,1073773926,2029,Assembly,78766.95492
South Atlantic,3203144775,2029,Assembly,234967.4862
East South Central,851494385,2029,Assembly,62461.58359
West South Central,1625473755,2029,Assembly,119237.0339
Mountain,1034376831,2029,Assembly,75876.97117
Pacific,1568727784,2029,Assembly,115074.419
New England,699211365,2029,Education,21489.23036
Middle Atlantic,2093237793,2029,Education,64332.57722
East North Central,2680138916,2029,Education,82370.11789
West North Central,1641819946,2029,Education,50458.91528
South Atlantic,2708122803,2029,Education,83230.1614
East South Central,927915344,2029,Education,28518.10995
West South Central,2165370849,2029,Education,66549.48034
Mountain,1044758545,2029,Education,32109.11345
Pacific,1567206421,2029,Education,48165.7786
New England,89641784,2029,Food Sales ,29880.59467
Middle Atlantic,57781868,2029,Food Sales ,19260.62267
East North Central,292329956,2029,Food Sales ,97443.31867
West North Central,131741364,2029,Food Sales ,43913.788
South Atlantic,93044929,2029,Food Sales ,31014.97633
East South Central,40896644,2029,Food Sales ,13632.21467
West South Central,138803741,2029,Food Sales ,46267.91367
Mountain,104656922,2029,Food Sales ,34885.64067
Pacific,126957573,2029,Food Sales ,42319.191
New England,64267082,2029,Food Services ,14914.30173
Middle Atlantic,81106933,2029,Food Services ,18822.28403
East North Central,224991623,2029,Food Services ,52213.24584
West North Central,67923431,2029,Food Services ,15762.82154
South Atlantic,287138977,2029,Food Services ,66635.62757
East South Central,116470741,2029,Food Services ,27029.07492
West South Central,212721817,2029,Food Services ,49365.82251
Mountain,229226165,2029,Food Services ,53195.94546
Pacific,209894257,2029,Food Services ,48709.6377
New England,101854591,2029,Health Care,3790.19376
Middle Atlantic,306404999,2029,Health Care,11401.88482
East North Central,665566773,2029,Health Care,24766.94477
West North Central,163100921,2029,Health Care,6069.280598
South Atlantic,474770965,2029,Health Care,17667.08728
East South Central,129737091,2029,Health Care,4827.752072
West South Central,271158569,2029,Health Care,10090.30134
Mountain,220658615,2029,Health Care,8211.106612
Pacific,382679840,2029,Health Care,14240.20977
New England,367780975,2029,Lodging,6363.910166
Middle Atlantic,1042556274,2029,Lodging,18039.90669
East North Central,1269689819,2029,Lodging,21970.11943
West North Central,682180115,2029,Lodging,11804.126
South Atlantic,1593300903,2029,Lodging,27569.73444
East South Central,390130127,2029,Lodging,6750.629451
West South Central,910012268,2029,Lodging,15746.42713
Mountain,822320130,2029,Lodging,14229.04335
Pacific,1057259765,2029,Lodging,18294.32903
New England,347285492,2029,Office,20091.9244
Middle Atlantic,2195641358,2029,Office,127027.0748
East North Central,1693062500,2029,Office,97950.77691
West North Central,781111572,2029,Office,45190.5853
South Atlantic,2646927979,2029,Office,153135.9013
East South Central,324255829,2029,Office,18759.56166
West South Central,1146810058,2029,Office,66347.77875
Mountain,1018005982,2029,Office,58895.92194
Pacific,1561887207,2029,Office,90361.73524
New England,259367218,2029,Office,15005.48297
Middle Atlantic,1049407959,2029,Office,60712.6582
East North Central,1580473022,2029,Office,91437.00271
West North Central,886041626,2029,Office,51261.22966
South Atlantic,1342708374,2029,Office,77681.31915
East South Central,405543914,2029,Office,23462.41881
West South Central,1184437988,2029,Office,68524.71254
Mountain,825569641,2029,Office,47762.67133
Pacific,1073454101,2029,Office,62103.82852
New England,740132874,2029,Mercantile and Service,56806.91297
Middle Atlantic,2172724121,2029,Mercantile and Service,166761.6105
East North Central,3268719970,2029,Mercantile and Service,250881.8313
West North Central,2001500732,2029,Mercantile and Service,153619.8187
South Atlantic,3375039062,2029,Mercantile and Service,259042.068
East South Central,1133143799,2029,Mercantile and Service,86971.41207
West South Central,2535097656,2029,Mercantile and Service,194574.6189
Mountain,1788973877,2029,Mercantile and Service,137307.8901
Pacific,2021480102,2029,Mercantile and Service,155153.2816
New England,575496277,2029,Warehouse,33219.20615
Middle Atlantic,2505537354,2029,Warehouse,144626.4124
East North Central,4244158203,2029,Warehouse,244984.3238
West North Central,1763178101,2029,Warehouse,101775.4226
South Atlantic,3984433349,2029,Warehouse,229992.3007
East South Central,1619157959,2029,Warehouse,93462.18937
West South Central,2770164551,2029,Warehouse,159901.412
Mountain,1411242309,2029,Warehouse,81460.73408
Pacific,3582388427,2029,Warehouse,206785.1773
New England,430631318,2029,Other,31165.60516
Middle Atlantic,946082398,2029,Other,68469.77735
East North Central,1077583984,2029,Other,77986.79652
West North Central,567564575,2029,Other,41075.72466
South Atlantic,1406090210,2029,Other,101761.4151
East South Central,315641113,2029,Other,22843.54595
West South Central,747644043,2029,Other,54108.41727
Mountain,403800141,2029,Other,29223.782
Pacific,624156189,2029,Other,45171.36709
New England,521046448,2030,Assembly,38221.49252
Middle Atlantic,1230689454,2030,Assembly,90277.53273
East North Central,2506955811,2030,Assembly,183898.3706
West North Central,1085775879,2030,Assembly,79647.36119
South Atlantic,3243241944,2030,Assembly,237908.824
East South Central,860448059,2030,Assembly,63118.38259
West South Central,1641882690,2030,Assembly,120440.7154
Mountain,1048051270,2030,Assembly,76880.06306
Pacific,1586318359,2030,Assembly,116364.78
New England,708184082,2030,Education,21764.99359
Middle Atlantic,2117331055,2030,Education,65073.04811
East North Central,2709959473,2030,Education,83286.60874
West North Central,1668484131,2030,Education,51278.39969
South Atlantic,2751171386,2030,Education,84553.19612
East South Central,940916077,2030,Education,28917.66831
West South Central,2201609619,2030,Education,67663.22551
Mountain,1061389282,2030,Education,32620.23463
Pacific,1588772095,2030,Education,48828.5678
New England,90498368,2030,Food Sales ,30166.12267
Middle Atlantic,58327572,2030,Food Sales ,19442.524
East North Central,294501007,2030,Food Sales ,98167.00233
West North Central,133227340,2030,Food Sales ,44409.11333
South Atlantic,94231666,2030,Food Sales ,31410.55533
East South Central,41311592,2030,Food Sales ,13770.53067
West South Central,140495987,2030,Food Sales ,46831.99567
Mountain,106006355,2030,Food Sales ,35335.45167
Pacific,128583542,2030,Food Sales ,42861.18067
New England,64881195,2030,Food Services ,15056.81741
Middle Atlantic,81872925,2030,Food Services ,19000.04589
East North Central,226662582,2030,Food Services ,52601.02114
West North Central,68689567,2030,Food Services ,15940.61681
South Atlantic,290801269,2030,Food Services ,67485.52656
East South Central,117652481,2030,Food Services ,27303.31838
West South Central,215315246,2030,Food Services ,49967.67312
Mountain,232181794,2030,Food Services ,53881.85093
Pacific,212582398,2030,Food Services ,49333.46789
New England,103212562,2030,Health Care,3840.72632
Middle Atlantic,311509491,2030,Health Care,11591.83221
East North Central,676634704,2030,Health Care,25178.80252
West North Central,165737045,2030,Health Care,6167.375545
South Atlantic,485434326,2030,Health Care,18063.89025
East South Central,131722275,2030,Health Care,4901.624363
West South Central,275222320,2030,Health Care,10241.52087
Mountain,225468293,2030,Health Care,8390.083439
Pacific,389141052,2030,Health Care,14480.64316
New England,372937958,2030,Lodging,6453.14419
Middle Atlantic,1061092529,2030,Lodging,18360.64938
East North Central,1293949097,2030,Lodging,22389.89065
West North Central,692709778,2030,Lodging,11986.32637
South Atlantic,1624690307,2030,Lodging,28112.88202
East South Central,397580383,2030,Lodging,6879.5452
West South Central,925458679,2030,Lodging,16013.70461
Mountain,835706360,2030,Lodging,14460.67242
Pacific,1073511840,2030,Lodging,18575.54734
New England,350704620,2030,Office,20289.73531
Middle Atlantic,2216718505,2030,Office,128246.4763
East North Central,1707406494,2030,Office,98780.63721
West North Central,790039672,2030,Office,45707.11339
South Atlantic,2686242919,2030,Office,155410.4358
East South Central,327539398,2030,Office,18949.52992
West South Central,1162273194,2030,Office,67242.38611
Mountain,1032195190,2030,Office,59716.82722
Pacific,1580081787,2030,Office,91414.36812
New England,261990357,2030,Office,15157.24258
Middle Atlantic,1060051880,2030,Office,61328.45374
East North Central,1594855103,2030,Office,92269.0665
West North Central,896491699,2030,Office,51865.81028
South Atlantic,1363437500,2030,Office,78880.58615
East South Central,409812164,2030,Office,23709.355
West South Central,1200545532,2030,Office,69456.60162
Mountain,837575744,2030,Office,48457.27482
Pacific,1086391480,2030,Office,62852.31023
New England,748041199,2030,Mercantile and Service,57413.89523
Middle Atlantic,2197194580,2030,Mercantile and Service,168639.7749
