meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) Best HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_cooling_ts_9	com_cooling_ts_9	com	other fossil boiler+rtac or chiller	Best HP boiler, fossil backup	other fossil boiler+rtac or chiller	Best HP boiler, fossil backup
(C) Best HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)	com_hvac_ann_22	com_hvac_ann_22	com_heating_ts_9	com_heating_ts_5	com	other fossil boiler+rtac or chiller	Best HP, fossil backup	other fossil boiler+rtac or chiller	Best HP, fossil backup
(C) Best HP Pt. FS (Other Fossil Boiler)	Ventilation	com_hvac_ann_22	com_hvac_ann_22	com_ventilation_4	com_ventilation_4	com	other fossil boiler+rtac or chiller	Best HP boiler, fossil backup	other fossil boiler+rtac or chiller	Best HP boiler, fossil backup
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	Best HP, fossil backup	other fossil furnace+cac&rac	Best HP, fossil backup
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_2	com	other fossil furnace+cac&rac	Best HP, fossil backup	other fossil furnace+cac&rac	Best HP, fossil backup
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	Best HP, fossil backup	other fossil furnace+cac&rac	Best HP, fossil backup
(C) Best HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_cooling_ts_9	com_cooling_ts_1	com	ng rtu+rtac or chiller	Best HP, fossil backup	ng rtu+rtac or chiller	Best HP, fossil backup
(C) Best HP Pt. FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_heating_ts_8	com_heating_ts_2	com	ng rtu+rtac or chiller	Best HP, fossil backup	ng rtu+rtac or chiller	Best HP, fossil backup
(C) Best HP Pt. FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_19	com_ventilation_5	com_ventilation_3	com	ng rtu+rtac or chiller	Best HP, fossil backup	ng rtu+rtac or chiller	Best HP, fossil backup
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_cooling_ts_9	com_cooling_ts_1	com	other fossil rtu+rtac or chiller	Best HP, fossil backup	other fossil rtu+rtac or chiller	Best HP, fossil backup
