in.census_division_name,in.comstock_building_type_group,in.state,sf,cdiv_share,Scout building type
Pacific,all,AK,89188941.24,0.01013731,Other
Pacific,all,CA,6476649141,0.736142856,Other
Pacific,all,HI,274092303.9,0.031153624,Other
Pacific,all,OR,728926556.5,0.082850571,Other
Pacific,all,WA,1229230401,0.13971564,Other
Mountain,all,AZ,1078148258,0.260451969,Other
Mountain,all,CO,1064276912,0.25710102,Other
Mountain,all,ID,256172314.4,0.061884424,Other
Mountain,all,MT,116215622.1,0.028074606,Other
Mountain,all,NV,678248485.6,0.16384681,Other
Mountain,all,NM,312960117.7,0.075602848,Other
Mountain,all,UT,557512104.3,0.134680109,Other
Mountain,all,WY,75994344.59,0.018358214,Other
West South Central,all,AR,455022663.1,0.060707236,Other
West South Central,all,LA,763987794.8,0.101928082,Other
West South Central,all,OK,703791509.6,0.093896943,Other
West South Central,all,TX,5572559289,0.743467739,Other
New England,all,CT,716301465.6,0.256992338,Other
New England,all,ME,234756039.1,0.084225017,Other
New England,all,MA,1347357398,0.483400558,Other
New England,all,NH,223861925.9,0.080316462,Other
New England,all,RI,190810544.8,0.068458394,Other
New England,all,VT,74160956.37,0.02660723,Other
South Atlantic,all,DE,169215507.3,0.01385029,Other
South Atlantic,all,DC,253637332.3,0.020760216,Other
South Atlantic,all,FL,3871858162,0.3169116,Other
South Atlantic,all,GA,2065371739,0.169050682,Other
South Atlantic,all,MD,1139961702,0.093305868,Other
South Atlantic,all,NC,1880533034,0.153921633,Other
South Atlantic,all,SC,1008197088,0.082520934,Other
South Atlantic,all,VA,1531418125,0.125346577,Other
South Atlantic,all,WV,297277926.8,0.024332199,Other
East North Central,all,IL,2697224127,0.282477148,Other
East North Central,all,IN,1329486409,0.139235567,Other
East North Central,all,MI,1816289419,0.19021788,Other
East North Central,all,OH,2609720515,0.273312997,Other
East North Central,all,WI,1095747938,0.114756408,Other
West North Central,all,IA,536165507.8,0.138673836,Other
West North Central,all,KS,557439561.2,0.144176157,Other
West North Central,all,MN,987748002.9,0.255471124,Other
West North Central,all,MO,1284898745,0.332326186,Other
West North Central,all,NE,312309375.7,0.080775691,Other
West North Central,all,ND,97604779.97,0.025244498,Other
West North Central,all,SD,90212298.99,0.023332507,Other
Middle Atlantic,all,NJ,1902336287,0.232592684,Other
Middle Atlantic,all,NY,3591349354,0.439103009,Other
Middle Atlantic,all,PA,2685145485,0.328304307,Other
