in.census_division_name,in.comstock_building_type_group,in.state,sf,cdiv_share,Scout building type
Mountain,Mercantile,MT,19626425.78,0.029648426,Mercantile and Service
Mountain,Mercantile,NV,102293736.6,0.154528813,Mercantile and Service
Mountain,Mercantile,NM,57105166.38,0.086265238,Mercantile and Service
Mountain,Mercantile,UT,90031679.66,0.136005283,Mercantile and Service
Mountain,Mercantile,WY,12195616.02,0.018423162,Mercantile and Service
Mountain,Warehouse and Storage,AZ,291635036.5,0.280627005,Warehouse
Mountain,Warehouse and Storage,CO,275236566,0.26484751,Warehouse
Mountain,Warehouse and Storage,ID,55880107.47,0.053770862,Warehouse
Mountain,Warehouse and Storage,MT,14295438.32,0.013755844,Warehouse
Mountain,Warehouse and Storage,NV,184393345.7,0.17743325,Warehouse
Mountain,Warehouse and Storage,NM,38108756.8,0.036670307,Warehouse
Mountain,Warehouse and Storage,UT,161698730.3,0.155595264,Warehouse
Mountain,Warehouse and Storage,WY,17978577.86,0.01729996,Warehouse
Mountain,Education,AZ,223258178.8,0.258871691,Education
Mountain,Education,CO,199108813.5,0.230870088,Education
Mountain,Education,ID,61704730.89,0.071547695,Education
Mountain,Education,MT,28281512.19,0.032792899,Education
Mountain,Education,NV,103637764,0.120169767,Education
Mountain,Education,NM,83968329.68,0.09736272,Education
Mountain,Education,UT,139806666.3,0.16210823,Education
Mountain,Education,WY,22661942.33,0.026276911,Education
Mountain,Food Service,AZ,22036693.96,0.271983377,Food Services 
Mountain,Food Service,CO,19805917.43,0.244450475,Food Services 
Mountain,Food Service,ID,5792652.531,0.071494626,Food Services 
Mountain,Food Service,MT,3667144.396,0.045260978,Food Services 
Mountain,Food Service,NV,9092136.723,0.112217833,Food Services 
Mountain,Food Service,NM,8828372.16,0.108962373,Food Services 
Mountain,Food Service,UT,10460625.3,0.129108123,Food Services 
Mountain,Food Service,WY,1338666.335,0.016522215,Food Services 
West South Central,Healthcare,AR,34187353.31,0.060931102,Health Care
West South Central,Healthcare,LA,65998139.63,0.117626519,Health Care
West South Central,Healthcare,OK,74496785.55,0.132773402,Health Care
West South Central,Healthcare,TX,386399868.5,0.688668978,Health Care
West South Central,Office,AR,74178846.66,0.049264251,Office
West South Central,Office,LA,145621769.1,0.096711498,Office
West South Central,Office,OK,122641044.6,0.081449355,Office
West South Central,Office,TX,1163292116,0.772574896,Office
West South Central,Lodging,AR,28393071.02,0.056410624,Lodging
West South Central,Lodging,LA,86923286.69,0.172696952,Lodging
West South Central,Lodging,OK,41560360.59,0.082571056,Lodging
West South Central,Lodging,TX,346451717.2,0.688321368,Lodging
West South Central,Mercantile,AR,86603375.75,0.068785943,Mercantile and Service
West South Central,Mercantile,LA,155292032.6,0.123342869,Mercantile and Service
West South Central,Mercantile,OK,125420789,0.099617216,Mercantile and Service
West South Central,Mercantile,TX,891711047.3,0.708253972,Mercantile and Service
West South Central,Warehouse and Storage,AR,115563157.7,0.054950224,Warehouse
West South Central,Warehouse and Storage,LA,150242952.1,0.071440449,Warehouse
West South Central,Warehouse and Storage,OK,189732683.8,0.090217796,Warehouse
West South Central,Warehouse and Storage,TX,1647512840,0.783391531,Warehouse
West South Central,Education,AR,103069954.5,0.072793956,Education
West South Central,Education,LA,139871016.6,0.098784992,Education
West South Central,Education,OK,133274916.1,0.094126445,Education
West South Central,Education,TX,1039697737,0.734294606,Education
West South Central,Food Service,AR,13026904.15,0.088483326,Food Services 
West South Central,Food Service,LA,20038598.05,0.136109222,Food Services 
West South Central,Food Service,OK,16664929.92,0.113194079,Food Services 
West South Central,Food Service,TX,97493963.84,0.662213373,Food Services 
New England,Healthcare,CT,37811202.15,0.208004677,Health Care
New England,Healthcare,ME,20280786.93,0.111567427,Health Care
New England,Healthcare,MA,105756244.3,0.581779796,Health Care
New England,Healthcare,NH,5340277.681,0.02937761,Health Care
New England,Healthcare,RI,10950144.14,0.060238265,Health Care
New England,Healthcare,VT,1641882.727,0.009032225,Health Care
New England,Office,CT,212239795,0.261624309,Office
New England,Office,ME,53352156.95,0.065766277,Office
New England,Office,MA,412486268.6,0.508464658,Office
New England,Office,NH,58411957.64,0.072003406,Office
New England,Office,RI,51494574.62,0.063476468,Office
New England,Office,VT,23254065.85,0.028664883,Office
New England,Lodging,CT,26141101.81,0.197419028,Lodging
New England,Lodging,ME,10176045.3,0.07685005,Lodging
New England,Lodging,MA,77654144.36,0.586448339,Lodging
New England,Lodging,NH,8551532.122,0.064581638,Lodging
New England,Lodging,RI,5215435.879,0.039387257,Lodging
New England,Lodging,VT,4676037.311,0.035313689,Lodging
New England,Mercantile,CT,138015206.8,0.24948847,Mercantile and Service
New England,Mercantile,ME,53309171.99,0.096366365,Mercantile and Service
New England,Mercantile,MA,251110224.9,0.453929008,Mercantile and Service
New England,Mercantile,NH,53919858.55,0.097470296,Mercantile and Service
New England,Mercantile,RI,46168630.54,0.083458492,Mercantile and Service
New England,Mercantile,VT,10669632.47,0.019287369,Mercantile and Service
New England,Warehouse and Storage,CT,163429401.1,0.26894887,Warehouse
New England,Warehouse and Storage,ME,41139454.49,0.067701465,Warehouse
New England,Warehouse and Storage,MA,305622872,0.502950666,Warehouse
New England,Warehouse and Storage,NH,55137003.72,0.090736641,Warehouse
New England,Warehouse and Storage,RI,34318765.74,0.056476945,Warehouse
New England,Warehouse and Storage,VT,8012245.1,0.013185414,Warehouse
New England,Education,CT,127405867.5,0.282843672,Education
New England,Education,ME,49755388.63,0.110457996,Education
New England,Education,MA,173013951.7,0.384094566,Education
New England,Education,NH,37608729.08,0.08349216,Education
New England,Education,RI,38066610.02,0.084508665,Education
New England,Education,VT,24595689.58,0.054602942,Education
New England,Food Service,CT,11258891.25,0.222877847,Food Services 
New England,Food Service,ME,6743034.793,0.133483222,Food Services 
New England,Food Service,MA,21713692.41,0.429838152,Food Services 
New England,Food Service,NH,4892567.139,0.096851884,Food Services 
