meas	meas_separated	component
(R) Ref. Case Scnd. Elec. Heat & Env.	(R) Ref. Case Scnd. Elec. Heat & Env.	equipment + env
(R) Ref. Case Scnd. Fossil Heat FS & Env.+	(R) Ref. Case Scnd. Fossil Heat FS & Env.+	equipment + env
(R) Ref. Case Scnd. Elec. Heat & Env.+	(R) Ref. Case Scnd. Elec. Heat & Env.+	equipment + env
(R) Ref. Case Scnd. Fossil Heat FS & Env.++	(R) Ref. Case Scnd. Fossil Heat FS & Env.++	equipment + env
(R) Ref. Case Scnd. Elec. Heat & Env.++	(R) Ref. Case Scnd. Elec. Heat & Env.++	equipment + env
(R) Ref. Case Scnd. Elec. Heat & Env.+	(R) Ref. Case Secondary Electric Heating	equipment
(R) Ref. Case Scnd. Elec. Heat & Env.++	(R) Ref. Case Secondary Electric Heating	equipment
(R) Ref. Case Scnd. Elec. Heat & Env.+	(R) Ref. Case Scnd. Elec. Heat & Env.+	equipment + env
(R) Ref. Case Scnd. Elec. Heat & Env.++	(R) Ref. Case Scnd. Elec. Heat & Env.++	equipment + env
(R) ES HP LFL & Env.	(R) ESTAR HP LFL	equipment
(R) ES HP LFL & Env.	(R) ES HP LFL & Env.	equipment + env
